plot \
'-' title "series_1" , \
'-' title "series_2" , \
'-' title "series_3" , \
'-' title "series_4" , \
'-' title "series_5" , \
'-' title "series_6" , \
'-' title "y" with line
1 109
2 98
3 101
4 107
5 107
6 115
7 106
8 102
9 110
e
11 121
13 114
15 118
18 91
19 126
e
21 118
22 110
23 133
24 119
25 138
26 120
27 124
28 128
29 132
30 138
31 142
32 148
33 133
e
41 143
44 155
46 158
48 139
49 142
51 150
52 156
55 154
57 182
59 163
e
63 146
65 174
66 166
69 166
75 176
79 180
83 208
85 199
88 192
89 192
90 195
e
91 178
92 200
93 181
94 193
95 180
96 185
97 187
98 178
99 204
e
0 102.527
1 103.491
2 104.456
3 105.42
4 106.385
5 107.349
6 108.314
7 109.278
8 110.243
9 111.208
10 112.172
11 113.137
12 114.101
13 115.066
14 116.03
15 116.995
16 117.96
17 118.924
18 119.889
19 120.853
20 121.818
21 122.782
22 123.747
23 124.711
24 125.676
25 126.641
26 127.605
27 128.57
28 129.534
29 130.499
30 131.463
31 132.428
32 133.392
33 134.357
34 135.322
35 136.286
36 137.251
37 138.215
38 139.18
39 140.144
40 141.109
41 142.074
42 143.038
43 144.003
44 144.967
45 145.932
46 146.896
47 147.861
48 148.825
49 149.79
50 150.755
51 151.719
52 152.684
53 153.648
54 154.613
55 155.577
56 156.542
57 157.507
58 158.471
59 159.436
60 160.4
61 161.365
62 162.329
63 163.294
64 164.258
65 165.223
66 166.188
67 167.152
68 168.117
69 169.081
70 170.046
71 171.01
72 171.975
73 172.939
74 173.904
75 174.869
76 175.833
77 176.798
78 177.762
79 178.727
80 179.691
81 180.656
82 181.621
83 182.585
84 183.55
85 184.514
86 185.479
87 186.443
88 187.408
89 188.372
90 189.337
91 190.302
92 191.266
93 192.231
94 193.195
95 194.16
96 195.124
97 196.089
98 197.054
99 198.018
100 198.983
e
